2025-12-03 15:22:05 INFO     Training average regularization at step 1700: 0.000000
2025-12-03 15:22:05 INFO     Training average loss at step 1700: 1.573565
2025-12-03 15:24:14 INFO     Training average positive_fact_loss at step 1800: 0.279535
2025-12-03 15:24:14 INFO     Training average negative_fact_loss at step 1800: 0.238709
2025-12-03 15:24:14 INFO     Training average positive_rule_loss at step 1800: 0.265882
2025-12-03 15:24:14 INFO     Training average negative_rule_loss at step 1800: 1.457624
2025-12-03 15:24:14 INFO     Training average L_uncertainty at step 1800: 45.197249
2025-12-03 15:24:14 INFO     Training average L_kl at step 1800: 45051.056445
2025-12-03 15:24:14 INFO     Training average L_sigma at step 1800: 14.619073
2025-12-03 15:24:14 INFO     Training average mu_mean at step 1800: -1.444422
2025-12-03 15:24:14 INFO     Training average sigma_mean at step 1800: 0.168045
2025-12-03 15:24:14 INFO     Training average regularization at step 1800: 0.000000
2025-12-03 15:24:14 INFO     Training average loss at step 1800: 1.572848
2025-12-03 15:26:16 INFO     Training average positive_fact_loss at step 1900: 0.279356
2025-12-03 15:26:16 INFO     Training average negative_fact_loss at step 1900: 0.238186
2025-12-03 15:26:16 INFO     Training average positive_rule_loss at step 1900: 0.268572
2025-12-03 15:26:16 INFO     Training average negative_rule_loss at step 1900: 1.452203
2025-12-03 15:26:16 INFO     Training average L_uncertainty at step 1900: 45.054483
2025-12-03 15:26:16 INFO     Training average L_kl at step 1900: 44907.343594
2025-12-03 15:26:16 INFO     Training average L_sigma at step 1900: 14.713733
2025-12-03 15:26:16 INFO     Training average mu_mean at step 1900: -1.438385
2025-12-03 15:26:16 INFO     Training average sigma_mean at step 1900: 0.168043
2025-12-03 15:26:16 INFO     Training average regularization at step 1900: 0.000000
2025-12-03 15:26:16 INFO     Training average loss at step 1900: 1.569703
2025-12-03 15:28:22 INFO     Training average positive_fact_loss at step 2000: 0.278938
2025-12-03 15:28:22 INFO     Training average negative_fact_loss at step 2000: 0.237677
2025-12-03 15:28:22 INFO     Training average positive_rule_loss at step 2000: 0.270346
2025-12-03 15:28:22 INFO     Training average negative_rule_loss at step 2000: 1.448968
2025-12-03 15:28:22 INFO     Training average L_uncertainty at step 2000: 45.048248
2025-12-03 15:28:22 INFO     Training average L_kl at step 2000: 44903.675937
2025-12-03 15:28:22 INFO     Training average L_sigma at step 2000: 14.456986
2025-12-03 15:28:22 INFO     Training average mu_mean at step 2000: -1.437240
2025-12-03 15:28:22 INFO     Training average sigma_mean at step 2000: 0.168044
2025-12-03 15:28:22 INFO     Training average regularization at step 2000: 0.000000
2025-12-03 15:28:22 INFO     Training average loss at step 2000: 1.568447
2025-12-03 15:28:22 INFO     Evaluating on Valid Dataset...
2025-12-03 15:28:22 INFO     >>>>> RuleE emb: Evaluating on valid
2025-12-03 15:28:39 INFO     Data : 2612
2025-12-03 15:28:39 INFO     Hit1 : 0.674196
2025-12-03 15:28:39 INFO     Hit3 : 0.897014
2025-12-03 15:28:39 INFO     Hit10: 0.960567
2025-12-03 15:28:39 INFO     MR   : 3.253446
2025-12-03 15:28:39 INFO     MRR  : 0.793508
2025-12-03 15:30:59 INFO     Training average positive_fact_loss at step 2100: 0.278134
2025-12-03 15:30:59 INFO     Training average negative_fact_loss at step 2100: 0.237708
2025-12-03 15:30:59 INFO     Training average positive_rule_loss at step 2100: 0.273220
2025-12-03 15:30:59 INFO     Training average negative_rule_loss at step 2100: 1.444338
2025-12-03 15:30:59 INFO     Training average L_uncertainty at step 2100: 44.920675
2025-12-03 15:30:59 INFO     Training average L_kl at step 2100: 44774.383398
2025-12-03 15:30:59 INFO     Training average L_sigma at step 2100: 14.628904
2025-12-03 15:30:59 INFO     Training average mu_mean at step 2100: -1.431590
2025-12-03 15:30:59 INFO     Training average sigma_mean at step 2100: 0.168037
2025-12-03 15:30:59 INFO     Training average regularization at step 2100: 0.000000
2025-12-03 15:30:59 INFO     Training average loss at step 2100: 1.565907
2025-12-03 15:33:01 INFO     Training average positive_fact_loss at step 2200: 0.277738
2025-12-03 15:33:01 INFO     Training average negative_fact_loss at step 2200: 0.236805
2025-12-03 15:33:01 INFO     Training average positive_rule_loss at step 2200: 0.275417
2025-12-03 15:33:01 INFO     Training average negative_rule_loss at step 2200: 1.440127
2025-12-03 15:33:01 INFO     Training average L_uncertainty at step 2200: 44.829600
2025-12-03 15:33:01 INFO     Training average L_kl at step 2200: 44680.005586
2025-12-03 15:33:01 INFO     Training average L_sigma at step 2200: 14.959252
2025-12-03 15:33:01 INFO     Training average mu_mean at step 2200: -1.427176
2025-12-03 15:33:01 INFO     Training average sigma_mean at step 2200: 0.168051
2025-12-03 15:33:01 INFO     Training average regularization at step 2200: 0.000000
2025-12-03 15:33:01 INFO     Training average loss at step 2200: 1.563339
2025-12-03 15:35:05 INFO     Training average positive_fact_loss at step 2300: 0.278506
2025-12-03 15:35:05 INFO     Training average negative_fact_loss at step 2300: 0.236734
2025-12-03 15:35:05 INFO     Training average positive_rule_loss at step 2300: 0.277448
2025-12-03 15:35:05 INFO     Training average negative_rule_loss at step 2300: 1.437900
2025-12-03 15:35:05 INFO     Training average L_uncertainty at step 2300: 44.812620
2025-12-03 15:35:05 INFO     Training average L_kl at step 2300: 44662.416211
2025-12-03 15:35:05 INFO     Training average L_sigma at step 2300: 15.020138
2025-12-03 15:35:05 INFO     Training average mu_mean at step 2300: -1.425325
2025-12-03 15:35:05 INFO     Training average sigma_mean at step 2300: 0.168042
2025-12-03 15:35:05 INFO     Training average regularization at step 2300: 0.000000
2025-12-03 15:35:05 INFO     Training average loss at step 2300: 1.563420
2025-12-03 15:37:16 INFO     Training average positive_fact_loss at step 2400: 0.277977
2025-12-03 15:37:16 INFO     Training average negative_fact_loss at step 2400: 0.236641
2025-12-03 15:37:16 INFO     Training average positive_rule_loss at step 2400: 0.280489
2025-12-03 15:37:16 INFO     Training average negative_rule_loss at step 2400: 1.432092
2025-12-03 15:37:16 INFO     Training average L_uncertainty at step 2400: 44.702328
2025-12-03 15:37:16 INFO     Training average L_kl at step 2400: 44547.337148
2025-12-03 15:37:16 INFO     Training average L_sigma at step 2400: 15.498925
2025-12-03 15:37:16 INFO     Training average mu_mean at step 2400: -1.420307
2025-12-03 15:37:16 INFO     Training average sigma_mean at step 2400: 0.168037
2025-12-03 15:37:16 INFO     Training average regularization at step 2400: 0.000000
2025-12-03 15:37:16 INFO     Training average loss at step 2400: 1.560623
2025-12-03 15:39:27 INFO     Training average positive_fact_loss at step 2500: 0.277657
2025-12-03 15:39:27 INFO     Training average negative_fact_loss at step 2500: 0.236615
2025-12-03 15:39:27 INFO     Training average positive_rule_loss at step 2500: 0.282772
2025-12-03 15:39:27 INFO     Training average negative_rule_loss at step 2500: 1.429281
2025-12-03 15:39:27 INFO     Training average L_uncertainty at step 2500: 44.664269
2025-12-03 15:39:27 INFO     Training average L_kl at step 2500: 44506.980078
2025-12-03 15:39:27 INFO     Training average L_sigma at step 2500: 15.728694
2025-12-03 15:39:27 INFO     Training average mu_mean at step 2500: -1.417903
2025-12-03 15:39:27 INFO     Training average sigma_mean at step 2500: 0.168051
2025-12-03 15:39:27 INFO     Training average regularization at step 2500: 0.000000
2025-12-03 15:39:27 INFO     Training average loss at step 2500: 1.559805
2025-12-03 15:41:31 INFO     Training average positive_fact_loss at step 2600: 0.277603
2025-12-03 15:41:31 INFO     Training average negative_fact_loss at step 2600: 0.236260
2025-12-03 15:41:31 INFO     Training average positive_rule_loss at step 2600: 0.284111
2025-12-03 15:41:31 INFO     Training average negative_rule_loss at step 2600: 1.427050
2025-12-03 15:41:31 INFO     Training average L_uncertainty at step 2600: 44.612423
2025-12-03 15:41:31 INFO     Training average L_kl at step 2600: 44450.108906
2025-12-03 15:41:31 INFO     Training average L_sigma at step 2600: 16.231222
2025-12-03 15:41:31 INFO     Training average mu_mean at step 2600: -1.414980
2025-12-03 15:41:31 INFO     Training average sigma_mean at step 2600: 0.168027
2025-12-03 15:41:31 INFO     Training average regularization at step 2600: 0.000000
2025-12-03 15:41:31 INFO     Training average loss at step 2600: 1.558636
2025-12-03 15:43:33 INFO     Training average positive_fact_loss at step 2700: 0.277532
2025-12-03 15:43:33 INFO     Training average negative_fact_loss at step 2700: 0.235819
2025-12-03 15:43:33 INFO     Training average positive_rule_loss at step 2700: 0.287903
2025-12-03 15:43:33 INFO     Training average negative_rule_loss at step 2700: 1.421489
2025-12-03 15:43:33 INFO     Training average L_uncertainty at step 2700: 44.508499
2025-12-03 15:43:33 INFO     Training average L_kl at step 2700: 44344.269805
2025-12-03 15:43:33 INFO     Training average L_sigma at step 2700: 16.422687
2025-12-03 15:43:33 INFO     Training average mu_mean at step 2700: -1.409917
2025-12-03 15:43:33 INFO     Training average sigma_mean at step 2700: 0.168042
2025-12-03 15:43:33 INFO     Training average regularization at step 2700: 0.000000
2025-12-03 15:43:33 INFO     Training average loss at step 2700: 1.556457
2025-12-03 15:45:39 INFO     Training average positive_fact_loss at step 2800: 0.277268
2025-12-03 15:45:39 INFO     Training average negative_fact_loss at step 2800: 0.236050
2025-12-03 15:45:39 INFO     Training average positive_rule_loss at step 2800: 0.288830
2025-12-03 15:45:39 INFO     Training average negative_rule_loss at step 2800: 1.420559
2025-12-03 15:45:39 INFO     Training average L_uncertainty at step 2800: 44.498272
2025-12-03 15:45:39 INFO     Training average L_kl at step 2800: 44329.936016
2025-12-03 15:45:39 INFO     Training average L_sigma at step 2800: 16.833342
2025-12-03 15:45:39 INFO     Training average mu_mean at step 2800: -1.408847
2025-12-03 15:45:39 INFO     Training average sigma_mean at step 2800: 0.168032
2025-12-03 15:45:39 INFO     Training average regularization at step 2800: 0.000000
2025-12-03 15:45:39 INFO     Training average loss at step 2800: 1.556337
2025-12-03 15:47:52 INFO     Training average positive_fact_loss at step 2900: 0.276833
2025-12-03 15:47:52 INFO     Training average negative_fact_loss at step 2900: 0.235263
2025-12-03 15:47:52 INFO     Training average positive_rule_loss at step 2900: 0.291659
2025-12-03 15:47:52 INFO     Training average negative_rule_loss at step 2900: 1.415623
2025-12-03 15:47:52 INFO     Training average L_uncertainty at step 2900: 44.330134
2025-12-03 15:47:52 INFO     Training average L_kl at step 2900: 44158.141602
2025-12-03 15:47:52 INFO     Training average L_sigma at step 2900: 17.199011
2025-12-03 15:47:52 INFO     Training average mu_mean at step 2900: -1.401574
2025-12-03 15:47:52 INFO     Training average sigma_mean at step 2900: 0.168038
2025-12-03 15:47:52 INFO     Training average regularization at step 2900: 0.000000
2025-12-03 15:47:52 INFO     Training average loss at step 2900: 1.552990
2025-12-03 15:49:53 INFO     Training average positive_fact_loss at step 3000: 0.277696
2025-12-03 15:49:53 INFO     Training average negative_fact_loss at step 3000: 0.235810
2025-12-03 15:49:53 INFO     Training average positive_rule_loss at step 3000: 0.291327
2025-12-03 15:49:53 INFO     Training average negative_rule_loss at step 3000: 1.414756
2025-12-03 15:49:53 INFO     Training average L_uncertainty at step 3000: 44.281395
2025-12-03 15:49:53 INFO     Training average L_kl at step 3000: 44107.306914
2025-12-03 15:49:53 INFO     Training average L_sigma at step 3000: 17.408614
2025-12-03 15:49:53 INFO     Training average mu_mean at step 3000: -1.398712
2025-12-03 15:49:53 INFO     Training average sigma_mean at step 3000: 0.168037
2025-12-03 15:49:53 INFO     Training average regularization at step 3000: 0.000000
2025-12-03 15:49:53 INFO     Training average loss at step 3000: 1.552608
2025-12-03 15:49:53 INFO     Evaluating on Valid Dataset...
2025-12-03 15:49:53 INFO     >>>>> RuleE emb: Evaluating on valid
2025-12-03 15:50:10 INFO     Data : 2612
2025-12-03 15:50:10 INFO     Hit1 : 0.677642
2025-12-03 15:50:10 INFO     Hit3 : 0.894334
2025-12-03 15:50:10 INFO     Hit10: 0.960949
2025-12-03 15:50:10 INFO     MR   : 3.229709
2025-12-03 15:50:10 INFO     MRR  : 0.794571
2025-12-03 15:52:26 INFO     Training average positive_fact_loss at step 3100: 0.277422
2025-12-03 15:52:26 INFO     Training average negative_fact_loss at step 3100: 0.235339
